Voltage,Speed,Torque
V,rpm,N.m
40.0,0.0,213.2
40.0,402.0,213.2
40.0,600.0,147.21
40.0,805.0,109.72
40.0,1208.0,73.12
40.0,1611.0,54.82
40.0,2014.0,43.85
40.0,2417.0,36.54
40.0,2820.0,31.32
40.0,3222.9999999999995,27.4
40.0,3626.0,24.36
40.0,4029.0,21.92
40.0,4432.0,19.93
40.0,4835.0,18.26
40.0,5238.0,16.86
40.0,5641.0,15.65
40.0,6044.0,14.61
40.0,6447.0,13.7
40.0,6609.0,1.4
40.0,0.0,-204.3
40.0,399.99999999999994,-204.3
40.0,604.0,-146.24
40.0,900.0,-98.14
40.0,1208.0,-73.12
40.0,1813.0,-48.72
40.0,2417.0,-36.54
40.0,3022.0,-29.22
40.0,3626.0,-24.36
40.0,4231.0,-20.87
40.0,4835.0,-18.26
40.0,5440.0,-16.23
40.0,6044.0,-14.61
40.0,6447.0,-13.7
40.0,6609.0,-1.4
